deltaGmin,system,polymer
-14.3620446,fe_random_batch0_0,000
-13.811064866666674,fe_random_batch0_0,001
-14.048943777777772,fe_random_batch0_0,002
-13.72799164444445,fe_random_batch0_0,003
-14.289431711111115,fe_random_batch0_0,004
-4.637447777777776,fe_random_batch0_0,005
-3.851754644444443,fe_random_batch0_0,006
-4.198929955555556,fe_random_batch0_0,007
-4.639424044444445,fe_random_batch0_0,008
-4.096533044444448,fe_random_batch0_0,009
-12.569875266666672,fe_random_batch0_0,010
-12.429005400000003,fe_random_batch0_0,011
-11.970020288888886,fe_random_batch0_0,012
-11.73356966666667,fe_random_batch0_0,013
-12.867192799999993,fe_random_batch0_0,014
-17.246679000000004,fe_random_batch0_0,015
-16.261700088888897,fe_random_batch0_0,016
-16.066089866666665,fe_random_batch0_0,017
-17.064692799999996,fe_random_batch0_0,018
-16.87787937777778,fe_random_batch0_0,019
-14.744846933333335,fe_random_batch0_0,020
-13.765703399999987,fe_random_batch0_0,021
-14.208319266666667,fe_random_batch0_0,022
-14.138443888888897,fe_random_batch0_0,023
-14.38255933333333,fe_random_batch0_0,024
-4.353033977777779,fe_random_batch0_0,025
-4.766014844444446,fe_random_batch0_0,026
-5.312692377777781,fe_random_batch0_0,027
-4.344074888888889,fe_random_batch0_0,028
-4.308112244444446,fe_random_batch0_0,029
-12.37845904444444,fe_random_batch0_0,030
-12.564216933333334,fe_random_batch0_0,031
-12.911006133333345,fe_random_batch0_0,032
-11.972182266666676,fe_random_batch0_0,033
-12.417887355555559,fe_random_batch0_0,034
-17.095942599999987,fe_random_batch0_0,035
-16.56987722222221,fe_random_batch0_0,036
-16.071414400000005,fe_random_batch0_0,037
-17.494056688888897,fe_random_batch0_0,038
-16.29032542222222,fe_random_batch0_0,039
