head_tail_[W],head_tail_[Tr],head_tail_[Ta],head_tail_[R],total_clusters,num_[W],max_[W],min_[W],mean_[W],num_[Tr],max_[Tr],min_[Tr],mean_[Tr],num_[Ta],max_[Ta],min_[Ta],mean_[Ta],num_[R],max_[R],min_[R],mean_[R],[W],[Tr],[Ta],[R],rel_shannon,length,total_solvent,std_solvent,total_surface,std_surface
0,0,0,2,4,0.0,0,0,0.0,0.25,2,2,2.0,0.0,0,0,0.0,0.75,3,2,2.3333333333333335,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.39094785400723414,24,720,2.886751345948129,560,4.714045207910316
0,1,0,1,3,0.0,0,0,0.0,0.0,0,0,0.0,0.3333333333333333,2,2,2.0,0.6666666666666666,4,3,3.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.39094785400723414,24,720,2.886751345948129,560,4.714045207910316
0,1,0,1,4,0.0,0,0,0.0,0.0,0,0,0.0,0.25,2,2,2.0,0.75,3,2,2.6666666666666665,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.39094785400723414,24,720,2.886751345948129,560,4.714045207910316
0,1,0,1,3,0.0,0,0,0.0,0.0,0,0,0.0,0.3333333333333333,3,3,3.0,0.6666666666666666,5,3,4.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.39094785400723414,24,720,2.886751345948129,560,4.714045207910316
0,0,0,2,4,0.0,0,0,0.0,0.25,2,2,2.0,0.0,0,0,0.0,0.75,3,2,2.3333333333333335,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.39094785400723414,24,720,2.886751345948129,560,4.714045207910316
0,1,1,0,5,0.8,3,2,2.25,0.0,0,0,0.0,0.2,2,2,2.0,0.0,0,0,0.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3909478540072341,24,720,2.886751345948129,640,4.714045207910316
2,0,0,0,3,1.0,3,2,2.3333333333333335,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3909478540072341,24,720,2.886751345948129,640,4.714045207910316
0,1,0,1,6,0.5,5,2,3.0,0.16666666666666666,2,2,2.0,0.16666666666666666,2,2,2.0,0.16666666666666666,2,2,2.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3909478540072341,24,720,2.886751345948129,640,4.714045207910316
1,1,0,0,3,0.6666666666666666,5,2,3.5,0.0,0,0,0.0,0.0,0,0,0.0,0.3333333333333333,2,2,2.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3909478540072341,24,720,2.886751345948129,640,4.714045207910316
2,0,0,0,6,0.5,4,2,2.6666666666666665,0.16666666666666666,2,2,2.0,0.0,0,0,0.0,0.3333333333333333,2,2,2.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3909478540072341,24,720,2.886751345948129,640,4.714045207910316
0,0,1,1,4,0.25,2,2,2.0,0.0,0,0,0.0,0.5,4,2,3.0,0.25,2,2,2.0,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.3909478540072341,24,680,3.7267799624996494,560,4.714045207910316
0,0,2,0,4,0.25,2,2,2.0,0.0,0,0,0.0,0.75,2,2,2.0,0.0,0,0,0.0,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.3909478540072341,24,680,3.7267799624996494,560,4.714045207910316
0,0,1,1,5,0.0,0,0,0.0,0.2,2,2,2.0,0.6,4,2,2.6666666666666665,0.2,2,2,2.0,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.3909478540072341,24,680,3.7267799624996494,560,4.714045207910316
1,0,1,0,4,0.0,0,0,0.0,0.0,0,0,0.0,1.0,3,2,2.25,0.0,0,0,0.0,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.3909478540072341,24,680,3.7267799624996494,560,4.714045207910316
1,0,1,0,5,0.2,2,2,2.0,0.2,2,2,2.0,0.6,3,3,3.0,0.0,0,0,0.0,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.3909478540072341,24,680,3.7267799624996494,560,4.714045207910316
1,0,1,0,9,0.2222222222222222,4,3,3.5,0.1111111111111111,2,2,2.0,0.3333333333333333,2,2,2.0,0.3333333333333333,3,2,2.3333333333333335,0.3,0.1,0.3,0.3,0.3561607391988709,40,1160,3.0,960,4.898979485566356
1,0,0,1,6,0.3333333333333333,3,2,2.5,0.0,0,0,0.0,0.5,3,2,2.3333333333333335,0.16666666666666666,2,2,2.0,0.3,0.1,0.3,0.3,0.3561607391988709,40,1160,3.0,960,4.898979485566356
0,1,1,0,7,0.2857142857142857,2,2,2.0,0.0,0,0,0.0,0.42857142857142855,2,2,2.0,0.2857142857142857,3,3,3.0,0.3,0.1,0.3,0.3,0.3561607391988709,40,1160,3.0,960,4.898979485566356
0,1,0,1,9,0.2222222222222222,3,3,3.0,0.1111111111111111,2,2,2.0,0.3333333333333333,2,2,2.0,0.3333333333333333,2,2,2.0,0.3,0.1,0.3,0.3,0.3561607391988709,40,1160,3.0,960,4.898979485566356
2,0,0,0,11,0.18181818181818182,2,2,2.0,0.09090909090909091,2,2,2.0,0.36363636363636365,2,2,2.0,0.36363636363636365,2,2,2.0,0.3,0.1,0.3,0.3,0.3561607391988709,40,1160,3.0,960,4.898979485566356
1,0,0,1,5,0.0,0,0,0.0,0.6,4,2,3.0,0.0,0,0,0.0,0.4,4,2,3.0,0.125,0.375,0.125,0.375,0.3622556248918266,32,1000,3.307189138830738,800,5.0
0,0,0,2,6,0.0,0,0,0.0,0.5,3,2,2.6666666666666665,0.0,0,0,0.0,0.5,3,2,2.3333333333333335,0.125,0.375,0.125,0.375,0.3622556248918266,32,1000,3.307189138830738,800,5.0
0,1,0,1,6,0.0,0,0,0.0,0.6666666666666666,2,2,2.0,0.0,0,0,0.0,0.3333333333333333,3,3,3.0,0.125,0.375,0.125,0.375,0.3622556248918266,32,1000,3.307189138830738,800,5.0
0,1,0,1,6,0.16666666666666666,2,2,2.0,0.16666666666666666,4,4,4.0,0.0,0,0,0.0,0.6666666666666666,2,2,2.0,0.125,0.375,0.125,0.375,0.3622556248918266,32,1000,3.307189138830738,800,5.0
0,1,0,1,8,0.25,2,2,2.0,0.375,3,2,2.6666666666666665,0.125,2,2,2.0,0.25,6,2,4.0,0.125,0.375,0.125,0.375,0.3622556248918266,32,1000,3.307189138830738,800,5.0
0,1,1,0,8,0.5,2,2,2.0,0.375,3,2,2.3333333333333335,0.125,2,2,2.0,0.0,0,0,0.0,0.375,0.375,0.125,0.125,0.3622556248918266,32,1000,3.307189138830738,880,4.330127018922194
2,0,0,0,7,0.42857142857142855,3,2,2.3333333333333335,0.42857142857142855,3,2,2.3333333333333335,0.0,0,0,0.0,0.14285714285714285,2,2,2.0,0.375,0.375,0.125,0.125,0.3622556248918266,32,1000,3.307189138830738,880,4.330127018922194
2,0,0,0,4,0.25,4,4,4.0,0.5,4,2,3.0,0.0,0,0,0.0,0.25,3,3,3.0,0.375,0.375,0.125,0.125,0.3622556248918266,32,1000,3.307189138830738,880,4.330127018922194
1,1,0,0,8,0.5,3,2,2.25,0.5,3,2,2.25,0.0,0,0,0.0,0.0,0,0,0.0,0.375,0.375,0.125,0.125,0.3622556248918266,32,1000,3.307189138830738,880,4.330127018922194
1,0,0,1,3,0.6666666666666666,2,2,2.0,0.3333333333333333,5,5,5.0,0.0,0,0,0.0,0.0,0,0,0.0,0.375,0.375,0.125,0.125,0.3622556248918266,32,1000,3.307189138830738,880,4.330127018922194
1,0,1,0,7,0.0,0,0,0.0,0.42857142857142855,3,2,2.3333333333333335,0.5714285714285714,4,2,2.5,0.0,0,0,0.0,0.125,0.375,0.375,0.125,0.3622556248918266,32,960,4.330127018922194,800,5.0
0,2,0,0,7,0.14285714285714285,2,2,2.0,0.42857142857142855,3,2,2.6666666666666665,0.42857142857142855,4,3,3.3333333333333335,0.0,0,0,0.0,0.125,0.375,0.375,0.125,0.3622556248918266,32,960,4.330127018922194,800,5.0
0,1,0,1,7,0.14285714285714285,2,2,2.0,0.42857142857142855,3,2,2.6666666666666665,0.42857142857142855,4,2,3.0,0.0,0,0,0.0,0.125,0.375,0.375,0.125,0.3622556248918266,32,960,4.330127018922194,800,5.0
0,1,1,0,6,0.0,0,0,0.0,0.5,2,2,2.0,0.5,3,2,2.3333333333333335,0.0,0,0,0.0,0.125,0.375,0.375,0.125,0.3622556248918266,32,960,4.330127018922194,800,5.0
1,0,0,1,9,0.1111111111111111,2,2,2.0,0.3333333333333333,4,2,3.3333333333333335,0.4444444444444444,4,2,2.5,0.1111111111111111,2,2,2.0,0.125,0.375,0.375,0.125,0.3622556248918266,32,960,4.330127018922194,800,5.0
0,2,0,0,10,0.3,3,2,2.3333333333333335,0.2,3,2,2.5,0.2,4,3,3.5,0.3,2,2,2.0,0.25,0.25,0.25,0.25,0.3581044635020827,48,1440,3.5355339059327378,1200,5.0
2,0,0,0,5,0.4,3,3,3.0,0.2,2,2,2.0,0.2,3,3,3.0,0.2,3,3,3.0,0.25,0.25,0.25,0.25,0.3581044635020827,48,1440,3.5355339059327378,1200,5.0
1,0,0,1,10,0.2,2,2,2.0,0.3,3,2,2.3333333333333335,0.3,3,2,2.3333333333333335,0.2,2,2,2.0,0.25,0.25,0.25,0.25,0.3581044635020827,48,1440,3.5355339059327378,1200,5.0
0,0,1,1,10,0.2,3,2,2.5,0.4,3,2,2.5,0.2,2,2,2.0,0.2,4,2,3.0,0.25,0.25,0.25,0.25,0.3581044635020827,48,1440,3.5355339059327378,1200,5.0
0,1,1,0,6,0.16666666666666666,2,2,2.0,0.3333333333333333,2,2,2.0,0.16666666666666666,2,2,2.0,0.3333333333333333,2,2,2.0,0.25,0.25,0.25,0.25,0.3581044635020827,48,1440,3.5355339059327378,1200,5.0
